# MODEL_TAG;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
# Unique/Historical Commands;;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
fra_paris_theatre;Armée de Paris HQ;;;;;;;;;;;;;x
fra_paris_theatre_short;PARIS HQ;;;;;;;;;;;;;x
fra_mirecourt_theatre;Armée de Mirecourt HQ;;;;;;;;;;;;;x
fra_mirecourt_theatre_short;MCOURT HQ;;;;;;;;;;;;;x
fra_marseille_theatre;Armée de Marseilles HQ;;;;;;;;;;;;;x
fra_marseille_theatre_short;MARS HQ;;;;;;;;;;;;;x
fra_africa_theatre;Armée de Africa HQ;;;;;;;;;;;;;x
fra_africa_theatre_short;AFRICA HQ;;;;;;;;;;;;;x
fra_colonial_theatre;Armée de Colonial HQ;;;;;;;;;;;;;x
fra_colonial_theatre_short;COL HQ;;;;;;;;;;;;;x
fra_indochine_theatre;Armée de Indochine HQ;;;;;;;;;;;;;x
fra_indochine_theatre_short;IND HQ;;;;;;;;;;;;;x
fra_maginot_army_group;Ligne Maginot HQ;;;;;;;;;;;;;x
fra_maginot_army_group_short;MAG-AG;;;;;;;;;;;;;x
fra_african_army_group;Armée d'Afrique HQ;;;;;;;;;;;;;x
fra_african_army_group_short;AFR-AG;;;;;;;;;;;;;x
fra_armee_b;B Armée HQ;;;;;;;;;;;;;x
fra_armee_b_short;FRA-B-HQ;;;;;;;;;;;;;x
fra_first_army;1e Armée HQ;;;;;;;;;;;;;x
fra_first_army_short;FRA-1A-HQ;;;;;;;;;;;;;x
fra_second_army;2e Armée HQ;;;;;;;;;;;;;x
fra_second_army_short;FRA-2A-HQ;;;;;;;;;;;;;x
fra_third_army;3e Armée HQ;;;;;;;;;;;;;x
fra_third_army_short;FRA-3A-HQ;;;;;;;;;;;;;x
fra_fourth_army;4e Armée HQ;;;;;;;;;;;;;x
fra_fourth_army_short;FRA-4A-HQ;;;;;;;;;;;;;x
fra_fifth_army;5e Armée HQ;;;;;;;;;;;;;x
fra_fifth_army_short;FRA-5A-HQ;;;;;;;;;;;;;x
fra_seventh_army;7e Armée HQ;;;;;;;;;;;;;x
fra_seventh_army_short;FRA-7A-HQ;;;;;;;;;;;;;x
