# MODEL_TAG;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Unit names;;;;;;;;;;;;;;x
afrika_brigade;Afrika Korps 'DAK';;;;;;;;;;;;;x
afrika_brigade_short;DAK;;;;;;;;;;;;;x
### LUFTWAFFE ###;;;;;;;;;;;;;;x
goering_brigade;HG Regiment;;;;;;;;;;;;;x
goering_brigade_short;HG-Rgt;;;;;;;;;;;;;x
luftwaffe_brigade;Luftwaffe Infanterie;;;;;;;;;;;;;x
luftwaffe_brigade_short;LW INF;;;;;;;;;;;;;x
### FALLSCHIRMJAEGER KAMPFGRUPPEN ###;;;;;;;;;;;;;;x
ger_kampfgruppe_schultz;Kampfgruppe Schultz;;;;;;;;;;;;;x
ger_kampfgruppe_schultz_short;KG Schultz;;;;;;;;;;;;;x
ger_kampfgruppe_hubner;Kampfgruppe Hübner;;;;;;;;;;;;;x
ger_kampfgruppe_hubner_short;KG Hübner;;;;;;;;;;;;;x
ger_kampfgruppe_ramcke;Kampfgruppe Ramcke;;;;;;;;;;;;;x
ger_kampfgruppe_ramcke_short;KG Ramcke;;;;;;;;;;;;;x
ger_kampfgruppe_heydte;Kampfgruppe von der Heydte;;;;;;;;;;;;;x
ger_kampfgruppe_heydte_short;KG Heydte;;;;;;;;;;;;;x
### HEER ###;;;;;;;;;;;;;;x
### HQ ###;;;;;;;;;;;;;;x
ger_army_nord;Heeresgruppe Nord;;;;;;;;;;;;;x
ger_army_nord_short;H.Gr. Nord;;;;;;;;;;;;;x
ger_army_mitte;Heeresgruppe Mitte;;;;;;;;;;;;;x
ger_army_mitte_short;H.Gr. Mitte;;;;;;;;;;;;;x
ger_army_group_center;Heeresgruppe Mitte;;;;;;;;;;;;;x
ger_army_group_center_short;H.Gr. Mitte;;;;;;;;;;;;;x
ger_army_group_south;Heeresgruppe Süd;;;;;;;;;;;;;x
ger_army_group_south_short;H.Gr. Süd;;;;;;;;;;;;;x
ger_army_sud;Heeresgruppe Süd;;;;;;;;;;;;;x
ger_army_sud_short;H.Gr. Süd;;;;;;;;;;;;;x
ger_army_norway;Heeresgruppe Norwegen;;;;;;;;;;;;;x
ger_army_norway_short;H.Gr. Norwegen;;;;;;;;;;;;;x
ger_army_group_afrika;Deutsches Afrikakorps;;;;;;;;;;;;;x
ger_army_group_afrika_short;D.A.K;;;;;;;;;;;;;x
ger_army_group_a;Heeresgruppe A;;;;;;;;;;;;;x
ger_army_group_a_short;H.Gr. A;;;;;;;;;;;;;x
ger_army_group_b;Heeresgruppe B;;;;;;;;;;;;;x
ger_army_group_b_short;H.Gr. B;;;;;;;;;;;;;x
ger_army_group_d;Heeresgruppe D;;;;;;;;;;;;;x
ger_army_group_d_short;H.Gr. D;;;;;;;;;;;;;x
ger_army_group_e;Heeresgruppe E;;;;;;;;;;;;;x
ger_army_group_e_short;H.Gr. E;;;;;;;;;;;;;x
ger_army_group_f;Heeresgruppe F;;;;;;;;;;;;;x
ger_army_group_f_short;H.Gr. F;;;;;;;;;;;;;x
ger_army_group_g;Heeresgruppe G;;;;;;;;;;;;;x
ger_army_group_g_short;H.Gr. G;;;;;;;;;;;;;x
ger_army_group_h;Heeresgruppe H;;;;;;;;;;;;;x
ger_army_group_h_short;H.Gr. H;;;;;;;;;;;;;x
ger_army_group_courtland;Heeresgruppe Kurland;;;;;;;;;;;;;x
ger_army_group_courtland_short;H.Gr. Kurland;;;;;;;;;;;;;x
ger_army_group_don;Heeresgruppe Don;;;;;;;;;;;;;x
ger_army_group_don_short;H.Gr. Don;;;;;;;;;;;;;x
ger_army_group_fhq;Heeresgruppe Führerhauptquartiere;;;;;;;;;;;;;x
ger_army_group_fhq_short;H.Gr. FHQ;;;;;;;;;;;;;x
ger_army_group_liguria;Heeresgruppe Ligurien;;;;;;;;;;;;;x
ger_army_group_liguria_short;H.Gr. Ligurien;;;;;;;;;;;;;x
ger_army_group_north_ukraine;Heeresgruppe Nordukraine;;;;;;;;;;;;;x
ger_army_group_north_ukraine_short;H.Gr. Nordukraine;;;;;;;;;;;;;x
ger_army_group_oberrhein;Heeresgruppe Oberrhein;;;;;;;;;;;;;x
ger_army_group_oberrhein_short;H.Gr. Oberrhein;;;;;;;;;;;;;x
ger_army_group_ostmark;Heeresgruppe Ostmark;;;;;;;;;;;;;x
ger_army_group_ostmark_short;H.Gr. Ostmark;;;;;;;;;;;;;x
ger_army_group_south_ukraine;Heeresgruppe Südukraine;;;;;;;;;;;;;x
ger_army_group_south_ukraine_short;H.Gr. Südukraine;;;;;;;;;;;;;x
ger_army_group_vistula;Heeresgruppe Weichsel;;;;;;;;;;;;;x
ger_army_group_vistula_short;H.Gr. Weichsel;;;;;;;;;;;;;x
ger_first_fallschirm_army;1. Fj-Armee;;;;;;;;;;;;;x
ger_first_fallschirm_army_short;1.-Fj.Aok;;;;;;;;;;;;;x
ger_first_panzer_army;1. Panzer-Armee;;;;;;;;;;;;;x
ger_first_panzer_army_short;1.-Pz.AOK;;;;;;;;;;;;;x
ger_third_panzer_army;3. Panzer-Armee;;;;;;;;;;;;;x
ger_third_panzer_army_short;3.-Pz.AOK;;;;;;;;;;;;;x
ger_fourth_panzer_army;4. Panzer-Armee;;;;;;;;;;;;;x
ger_fourth_panzer_army_short;4.-Pz.AOK;;;;;;;;;;;;;x
ger_fifth_panzer_army;5. Panzer-Armee;;;;;;;;;;;;;x
ger_fifth_panzer_army_short;5.-Pz.AOK;;;;;;;;;;;;;x
ger_sixth_panzer_army;6. Panzer-Armee;;;;;;;;;;;;;x
ger_sixth_panzer_army_short;6.-Pz.AOK;;;;;;;;;;;;;x
ger_twelfth_army;Stab 12. Armee;;;;;;;;;;;;;x
ger_twelfth_army_short;12.-AOK;;;;;;;;;;;;;x
ger_thirteenth_army;Stab 13. Armee;;;;;;;;;;;;;x
ger_thirteenth_army_short;13.-AOK;;;;;;;;;;;;;x
ger_fourteenth_army;Stab 14. Armee;;;;;;;;;;;;;x
ger_fourteenth_army_short;14.-AOK;;;;;;;;;;;;;x
ger_fifteenth_army;Stab 15. Armee;;;;;;;;;;;;;x
ger_fifteenth_army_short;15.-AOK;;;;;;;;;;;;;x
ger_sixteenth_army;Stab 16. Armee;;;;;;;;;;;;;x
ger_sixteenth_army_short;16.-AOK;;;;;;;;;;;;;x
ger_seventeenth_army;Stab 17. Armee;;;;;;;;;;;;;x
ger_seventeenth_army_short;17.-AOK;;;;;;;;;;;;;x
ger_eighteenth_army;Stab 18. Armee;;;;;;;;;;;;;x
ger_eighteenth_army_short;18.-AOK;;;;;;;;;;;;;x
ger_nineteenth_army;Stab 19. Armee;;;;;;;;;;;;;x
ger_nineteenth_army_short;19.-AOK;;;;;;;;;;;;;x
ger_twentieth_mountain_army;20. Gebirgsarmee;;;;;;;;;;;;;x
ger_twentieth_mountain_army_short;20.-GbAOK;;;;;;;;;;;;;x
ger_twentyfirst_army;Stab 21. Armee;;;;;;;;;;;;;x
ger_twentyfirst_army_short;21.-AOK;;;;;;;;;;;;;x
ger_twentyfourth_army;Stab 24. Armee;;;;;;;;;;;;;x
ger_twentyfourth_army_short;24.-AOK;;;;;;;;;;;;;x
ger_twentyfifth_army;Stab 25. Armee;;;;;;;;;;;;;x
ger_twentyfifth_army_short;25.-AOK;;;;;;;;;;;;;x
ger_i_corps;I. Armeekorps;;;;;;;;;;;;;x
ger_i_corps_short;I.-AK;;;;;;;;;;;;;x
ger_ii_corps;II. Armeekorps;;;;;;;;;;;;;x
ger_ii_corps_short;II.-AK;;;;;;;;;;;;;x
ger_iii_corps;III. Armeekorps;;;;;;;;;;;;;x
ger_iii_corps_short;III.-AK;;;;;;;;;;;;;x
ger_iv_corps;IV. Armeekorps;;;;;;;;;;;;;x
ger_iv_corps_short;IV.-AK;;;;;;;;;;;;;x
ger_v_corps;V. Armeekorps;;;;;;;;;;;;;x
ger_v_corps_short;V.-AK;;;;;;;;;;;;;x
ger_vi_corps;VI. Armeekorps;;;;;;;;;;;;;x
ger_vi_corps_short;VI.-AK;;;;;;;;;;;;;x
ger_vii_corps;VII. Armeekorps;;;;;;;;;;;;;x
ger_vii_corps_short;VII.-AK;;;;;;;;;;;;;x
ger_viii_corps;VIII. Armeekorps;;;;;;;;;;;;;x
ger_viii_corps_short;VIII.-AK;;;;;;;;;;;;;x
ger_ix_corps;IX. Armeekorps;;;;;;;;;;;;;x
ger_ix_corps_short;IX.-AK;;;;;;;;;;;;;x
ger_x_corps;X. Armeekorps;;;;;;;;;;;;;x
ger_x_corps_short;X.-AK;;;;;;;;;;;;;x
ger_xi_corps;XI. Armeekorps;;;;;;;;;;;;;x
ger_xi_corps_short;XI.-AK;;;;;;;;;;;;;x
ger_xii_corps;XII. Armeekorps;;;;;;;;;;;;;x
ger_xii_corps_short;XII.-AK;;;;;;;;;;;;;x
ger_xiii_corps;XIII. Armeekorps;;;;;;;;;;;;;x
ger_xiii_corps_short;XIII.-AK;;;;;;;;;;;;;x
ger_xviii_corps;XVIII. Armeekorps;;;;;;;;;;;;;x
ger_xviii_corps_short;XVIII.-AK;;;;;;;;;;;;;x
ger_xx_corps;XX. Armeekorps;;;;;;;;;;;;;x
ger_xx_corps_short;XX.-AK;;;;;;;;;;;;;x
ger_xxi_corps;XXI. Armeekorps;;;;;;;;;;;;;x
