##################################################;;;;;;;;;;;;;;x
# Flags;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
paris_has_fallen;Paris has fallen;;;;;;;;;;;;;x
colonial_event;Colonial Empire Event;;;;;;;;;;;;;x
unit_exclusive_french;French Republic Elite;;;;;;;;;;;;;x
unit_exclusive_uk;United Kingdom Empire Elite;;;;;;;;;;;;;x
unit_allies;Allies Cooperation;;;;;;;;;;;;;x
unit_exclusive_usa;United States Army Elite;;;;;;;;;;;;;x
unit_exclusive_ger;Wehrmacht and Schutzstaffel Elite;;;;;;;;;;;;;x
unit_exclusive_jap;Imperial Army Elite;;;;;;;;;;;;;x
unit_exclusive_Italian;Italian Elite;;;;;;;;;;;;;x
unit_exclusive_spain;Nationalist Elite;;;;;;;;;;;;;x
unit_exclusive_axis;Axis Cooperation;;;;;;;;;;;;;x
unit_exclusive_soviet;Komintern Elite;;;;;;;;;;;;;x
Great_Patriotic_War;Great Patriotic War Decision;;;;;;;;;;;;;x
Great_Patriotic_War_decision;Great Patriotic War Decision;;;;;;;;;;;;;x
Guard_decision;Guard Decision;;;;;;;;;;;;;x
neutrality_act_end;Neutrality Act Ended;;;;;;;;;;;;;x
event_activated_tech;Event Activated Tech;;;;;;;;;;;;;x
USMC_esprit_de_corps;USMC Esprit de Corps event;;;;;;;;;;;;;x
USMC_amphibious_tests;USMC Amphibious Doctrines event;;;;;;;;;;;;;x
USMC_first_division;Fleet Marine Force High Command creation event;;;;;;;;;;;;;x
USMC_LVT;Roebling's LVT (Landing Vehicle, Tracked) event;;;;;;;;;;;;;x
lend_lease_decision;Lend Lease Enacted;;;;;;;;;;;;;x
goliath_transmitters_installed;Goliath Transmitters Event;;;;;;;;;;;;;x
Finland_elite;Finland Elite;;;;;;;;;;;;;x
Full_national_support;Full national support;;;;;;;;;;;;;x
Axis_trade_revenues;Axis trade revenues;;;;;;;;;;;;;x
SSI_efficiency;S.S.I. efficiency;;;;;;;;;;;;;x
Antonescu_industry;Antonescu's industrial reforms;;;;;;;;;;;;;x
Antonescu_supply;Antonescu's infrastructure reforms;;;;;;;;;;;;;x
Antonescu_manpower;Antonescu's manpower reforms;;;;;;;;;;;;;x
Antonescu_military;Antonescu's military restructure;;;;;;;;;;;;;x
Superior_School_of_War;Superior School of War;;;;;;;;;;;;;x
I.A.R._facilities;I.A.R. facilities;;;;;;;;;;;;;x
Deutsche_Heeresmission;German military mission;;;;;;;;;;;;;x
National_Legionary_State;Romanian National Legionary State;;;;;;;;;;;;;x
Oil_production_increase;Oil production increase;;;;;;;;;;;;;x
economic_agreement_with_germany;Economic agreement with Germany;;;;;;;;;;;;;x
german_romanian_agreement_ok;German-Romanian Oil Agreement;;;;;;;;;;;;;x
Natural_disaster;Natural disaster;;;;;;;;;;;;;x
medium_doctrine;Medium tank Doctrine;;;;;;;;;;;;;x
infantry_doctrine;Infantry tank Doctrine;;;;;;;;;;;;;x
turreted_doctrine;Turreted tank destroyer Doctrine;;;;;;;;;;;;;x
casemate_doctrine;Casemate-style turretless tank destroyer Doctrine;;;;;;;;;;;;;x
