# MODEL_TAG;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Unit names;;;;;;;;;;;;;;x
# Armies/Army Groups;;;;;;;;;;;;;;x
ita_armir;Armata Italiana in Russia;;;;;;;;;;;;;x
ita_armir_short;ARMIR;;;;;;;;;;;;;x
ita_first_army;Regio Esercito 1a Armata HQ;;;;;;;;;;;;x
ita_first_army_short;1a Armata HQ;;;;;;;;;;;;x
ita_second_army;Regio Esercito 2a Armata HQ;;;;;;;;;;;;x
ita_second_army_short;2a Armata HQ;;;;;;;;;;;;x
ita_third_army;Regio Esercito 3a Armata HQ;;;;;;;;;;;;x
ita_third_army_short;3a Armata HQ;;;;;;;;;;;;x
ita_fourth_army;Regio Esercito 4a Armata HQ;;;;;;;;;;;;x
ita_fourth_army_short;4a Armata HQ;;;;;;;;;;;;x
ita_fifth_army;Regio Esercito 5a Armata HQ;;;;;;;;;;;;x
ita_fifth_army_short;5a Armata HQ;;;;;;;;;;;;x
ita_sixth_army;Regio Esercito 6a Armata HQ;;;;;;;;;;;;x
ita_sixth_army_short;6a Armata HQ;;;;;;;;;;;;x
ita_seventh_army;Regio Esercito 7a Armata HQ;;;;;;;;;;;;x
ita_seventh_army_short;7a Armata HQ;;;;;;;;;;;;x
ita_eighth_army;Regio Esercito 8a Armata HQ;;;;;;;;;;;;x
ita_eighth_army_short;8a Armata HQ;;;;;;;;;;;;x
ita_ninth_army;Regio Esercito 9a Armata HQ;;;;;;;;;;;;x
ita_ninth_army_short;9a Armata HQ;;;;;;;;;;;;x
ita_tenth_army;Regio Esercito 10a Armata HQ;;;;;;;;;;;;x
ita_tenth_army_short;10a Armata HQ;;;;;;;;;;;;x
ita_eleventh_army;Regio Esercito 11a Armata HQ;;;;;;;;;;;;x
ita_eleventh_army_short;11a Armata HQ;;;;;;;;;;;;x
# Alpine Divisions;;;;;;;;;;;;;;x
ita_first_alpine;1a Divisione Alpina HQ;;;;;;;;;;;;;x
ita_first_alpine_short;1a ALP HQ;;;;;;;;;;;;;x
