####################################;;;;;;;;;;;;;x
#COLONIAL EVENTS;;;;;;;;;;;;;x
####################################;;;;;;;;;;;;;x
EVTNAME33700;Italian colonial troops;;;;;;;;;;;;;x
EVTDESC33700;The Royal Corps of Colonial Troops (Regio Corpo Truppe Coloniali or RCTC) was a corps of the Italian armed forces, in which all the Italian colonial troops were grouped. The colonial troops were commanded by Italian officers and NCOs, while soldiers were drawn from the Italian colonies of Libya, Eritrea, Somalia and later Ethiopia.\nTroops were made of militias (Dubats), light infantry (Ascari) and also local cavalry. In 1940, 256,000 Askaris in the Italian Royal Army were present in the local Italian colonies, 74,000 recruited in Libya and 182,000 in Italian East Africa.;;;;;;;;;;;;;x
EVTNAME33701;French colonial troops;;;;;;;;;;;;;x
EVTDESC33701;France made an extended use of colonial troops in its forces, from local garrisons to complete divisions used on the European Theatre. Soldiers were drown from Sub-Saharan African, North Africa, Lebanon, Madagascar and Indochina. You will in the starting OOB 4 types of colonial infantry divisions:\n DM for 'Division d'Infanterie marocaine' regarded as elite choc troops\n DINA for 'Division d'Infanterie Nord-Africaine' made of soldiers from Algeria and Tunisia\n DIC for 'Division d'Infanterie Coloniale' made of european and african soldiers and design to serve abroad\n DIA for 'Division d'Infanterie Africaine' who where second line divisions.;;;;;;;;;;;;;x
EVTNAME33702;British colonial troops;;;;;;;;;;;;;x
EVTDESC33702;United Kingdom made a large use of auxiliary forces from ist colonies. For example, soldiers of the King's African Rifles were drown from the East African colonies of Nyasaland, Kenya, Uganda and British Somaliland; Royal West African Frontier Force garrisoned the West African colonies of Nigeria, Gold Coast, Sierra Leone and Gambia.;;;;;;;;;;;;;x
EVTNAME33703;Belgian colonial troops;;;;;;;;;;;;;x
EVTDESC33703;The 'Force Publique' was a gendarmerie and military force raised in the Belgian colony of Congo. The officers of the 'Force Publique' were entirely European. They comprised a mixture of Belgian regular soldiers and mercenaries from other countries who were drawn by the prospect of wealth or simply attracted to the adventure of service in Africa.;;;;;;;;;;;;;x
EVTNAME33704;Portuguese colonial troops;;;;;;;;;;;;;x
EVTDESC33704;Portugal can now start to recruit troops from its African colonies.;;;;;;;;;;;;;x
EVTNAME33705;Spanish colonial troops;;;;;;;;;;;;;x
EVTDESC33705;The 'Fuerzas Regulares Indigenas', known simply as the 'Regulares', were volunteer infantry units of the Spanish Army, largely recruited in the cities of Ceuta and Melilla. Consisting of indigenous infantry and cavalry recruited in Spanish Morocco, forming part of the Army of Africa and officered by Spaniards, these troops played a significant role in the Spanish Civil War (1936–1939).;;;;;;;;;;;;;x
EVTNAME33706;Nationalist Spain recruits colonial troops;;;;;;;;;;;;;x
EVTNAME33707;Netherlands colonial troops;;;;;;;;;;;;;x
EVTDESC33707;Netherlands starts to recruit some indigenous troops fromits colonies for the Koninklijk Nederlands Indisch Leger (Royal Netherlands East Indies Army).;;;;;;;;;;;;;x
############EOF################;;;;;;;;;;;;;x
