PROV1;Porsangerhalvoya;Porsangerhalvoya;Porsangerhalvoya;;Porsangerhalvoya;;;;;;;;;x,
PROV2;Svaerholthalvoya;Svaerholthalvoya;Svaerholthalvoya;;Svaerholthalvoya;;;;;;;;;x,
PROV3;Nordkinnhalvoya;Nordkinnhalvoya;Nordkinnhalvoya;;Nordkinnhalvoya;;;;;;;;;x,
PROV4;Båtsfjord;Båtsfjord;Båtsfjord;;Båtsfjord;;;;;;;;;x,
PROV5;Hasvik;Hasvik;Hasvik;;Hasvik;;;;;;;;;x,
PROV6;Hammerfest;Hammerfest;Hammerfest;;Hammerfest;;;;;;;;;x,
PROV7;Kistrand;Kistrand;Kistrand;;Kistrand;;;;;;;;;x,
PROV8;Storfjordbotn;Storfjordbotn;Storfjordbotn;;Storfjordbotn;;;;;;;;;x,
PROV9;Tromso;Tromso;Tromso;;Tromso;;;;;;;;;x,
PROV10;Ringvassoy;Ringvassoy;Ringvassoy;;Ringvassoy;;;;;;;;;x,
PROV11;Bergsfjord;Bergsfjord;Bergsfjord;;Bergsfjord;;;;;;;;;x,
PROV12;Rastigaissa;Rastigaissa;Rastigaissa;;Rastigaissa;;;;;;;;;x,
PROV13;Borselv;Borselv;Borselv;;Borselv;;;;;;;;;x,
PROV14;Vadso;Vadso;Vadso;;Vadso;;;;;;;;;x,
PROV15;Vardo;Vardo;Vardo;;Vardo;;;;;;;;;x,
PROV16;Lyngsfjellan;Lyngsfjellan;Lyngsfjellan;;Lyngsfjellan;;;;;;;;;x,
PROV17;Storslett;Storslett;Storslett;;Storslett;;;;;;;;;x,
PROV18;Caravarre;Caravarre;Caravarre;;Caravarre;;;;;;;;;x,
PROV19;Alta;Alta;Alta;;Alta;;;;;;;;;x,
PROV20;Lakselv;Lakselv;Lakselv;;Lakselv;;;;;;;;;x,
PROV21;Karigasniemi;Karigasniemi;Karigasniemi;;Karigasniemi;;;;;;;;;x,
PROV22;Polmak;Polmak;Polmak;;Polmak;;;;;;;;;x,
PROV23;Kirkenes;Kirkenes;Kirkenes;;Kirkenes;;;;;;;;;x,
PROV24;Senja;Senja;Senja;;Senja;;;;;;;;;x,
PROV25;Andselv;Andselv;Andselv;;Andselv;;;;;;;;;x,
PROV26;Skibotn;Skibotn;Skibotn;;Skibotn;;;;;;;;;x,
PROV27;Bilto;Bilto;Bilto;;Bilto;;;;;;;;;x,
PROV28;Jotkajavvre;Jotkajavvre;Jotkajavvre;;Jotkajavvre;;;;;;;;;x,
PROV29;Kárásjohka;Kárásjohka;Kárásjohka;;Kárásjohka;;;;;;;;;x,
PROV30;Utsjoki;Utsjoki;Utsjoki;;Utsjoki;;;;;;;;;x,
PROV31;Sevettijärvi;Sevettijärvi;Sevettijärvi;;Sevettijärvi;;;;;;;;;x,
PROV32;Rybachi;Rybachi;Rybachi;;Rybachi;;;;;;;;;x,
PROV33;Petsamo;Petsamo;Petsamo;;Petsamo;;;;;;;;;x,
PROV34;Pulozero;Pulozero;Pulozero;;Pulozero;;;;;;;;;x,
PROV35;Gavrilovo;Gavrilovo;Gavrilovo;;Gavrilovo;;;;;;;;;x,
PROV36;Bonnes;Bonnes;Bonnes;;Bonnes;;;;;;;;;x,
PROV37;Innset;Innset;Innset;;Innset;;;;;;;;;x,
PROV38;Nordkjosbotn;Nordkjosbotn;Nordkjosbotn;;Nordkjosbotn;;;;;;;;;x,
PROV39;Kilpisjärvi;Kilpisjärvi;Kilpisjärvi;;Kilpisjärvi;;;;;;;;;x,
PROV40;Suolovuopme;Suolovuopme;Suolovuopme;;Suolovuopme;;;;;;;;;x,
PROV41;Kautokeino;Kautokeino;Kautokeino;;Kautokeino;;;;;;;;;x,
PROV42;Inari;Inari;Inari;;Inari;;;;;;;;;x,
